gade,postnr,kommune,antal,beholder,tur,fremsætter,lås,type,sæk,adresse,latitude,longitude
Jernbanegade 28,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,"Jernbanegade 28, 6000 Kolding, danmark",55.4899703,9.4770761
Jernbanegade 32,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,"Jernbanegade 32, 6000 Kolding, danmark",55.4898529,9.4774626
Jernbanegade 32,6000,Kolding,1,"400 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,"Jernbanegade 32, 6000 Kolding, danmark",55.4898529,9.4774626
Jernbanegade 32,6000,Kolding,1,"190 l. beholder, mad","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,190,False,"Jernbanegade 32, 6000 Kolding, danmark",55.4898529,9.4774626
Klostergade 3,6000,Kolding,1,"130 l. sæk, resta - sætte frem","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,False,130,True,"Klostergade 3, 6000 Kolding, danmark",55.489207,9.475278
Klostergade 3,6000,Kolding,1,"90 l. sæk, mad - sætte frem","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,False,90,True,"Klostergade 3, 6000 Kolding, danmark",55.489207,9.475278
Klostergade 12,6000,Kolding,1,"130 l. sæk, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,130,True,"Klostergade 12, 6000 Kolding, danmark",55.4890233,9.4760534
Klostergade 12,6000,Kolding,1,"90 l. sæk, madaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,90,True,"Klostergade 12, 6000 Kolding, danmark",55.4890233,9.4760534
Klostergade 16,6000,Kolding,1,"400 l. con, madaffald","Tur 20, mandag og torsdag, mad/rest - LILLEBIL",False,False,400,False,"Klostergade 16, 6000 Kolding, danmark",55.4889692,9.4764694
Klostergade 16,6000,Kolding,1,"400 l. con, madaffald","Tur 20, mandag og torsdag, mad/rest - LILLEBIL",False,False,400,False,"Klostergade 16, 6000 Kolding, danmark",55.4889692,9.4764694
Klostergade 16,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag og torsdag, mad/rest - LILLEBIL",False,False,660,False,"Klostergade 16, 6000 Kolding, danmark",55.4889692,9.4764694
Klostergade 16,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag og torsdag, mad/rest - LILLEBIL",False,False,660,False,"Klostergade 16, 6000 Kolding, danmark",55.4889692,9.4764694
